Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
6,93,49309,12741,11336,11253,1218
6,94,69111,15426,16454,15118,1193
6,95,68846,16135,17713,15326,1379
6,96,82824,15683,15492,14846,2781
7,1,160802,24763,19964,18958,3381
7,2,155757,25134,20585,19045,3277
7,3,100823,18920,16312,14575,2631
7,4,3860737,2813890,1308642,416502,1973
7,5,79405,25383,48156,39370,1629
7,6,85883,15200,15179,10850,1214
7,7,112189,13635,11688,7949,1500
7,8,107556,12534,10930,7346,723
7,9,126097,16521,12710,9462,1538
7,10,160930,18978,15039,12466,1767
7,11,183418,22047,16825,13739,2796
7,12,184842,21804,15822,12349,4550
7,13,126821,17495,11778,11696,2184
7,14,115446,16101,11365,11024,2040
7,15,97762,13958,10215,9320,2293
7,16,85686,14196,10512,8712,1168
7,17,80080,13495,11089,9489,1706
7,18,80230,12743,10683,8770,1290
7,19,80116,16273,12846,9365,474
7,20,92287,16080,12483,9449,1895
7,21,106360,17835,14064,11512,2963
7,22,105625,15775,12152,10805,2316
7,23,116310,16425,12825,11263,2229
7,24,114618,15757,12606,11382,1719
7,25,130608,15809,11214,12039,2193
7,26,160278,23679,14578,13317,2528
7,27,96118,13640,10525,10633,1551
7,28,86164,13083,10660,11440,1740
7,29,80063,13239,10309,10758,1337
7,30,67560,13233,10794,10932,1257
7,31,59845,15857,14426,14753,1407
7,32,402871,665175,670959,227906,2784
7,33,174942,262144,285100,116434,2260
7,34,106643,91891,105508,52707,1751
7,35,113660,31607,32167,22138,2448
7,36,118173,18467,17359,14917,3201
7,37,95640,12994,11054,11280,1557
7,38,100565,14417,11942,11826,2524
7,39,85387,12709,11062,11183,2130
7,40,70881,11906,11338,11344,1236
7,41,76437,14449,12696,12263,1119
7,42,89866,13525,11306,12348,1523
7,43,72744,11795,10271,9850,1228
7,44,69861,11725,9762,9881,1811
7,45,61569,10870,9431,8929,989
7,46,73078,12984,10930,10489,1775
7,47,98923,16429,13300,12593,2613
7,48,102619,15268,12204,11081,2277
7,49,100908,16824,12899,13992,2074
7,50,77140,13593,11777,12430,1855
7,51,58977,11137,9285,10323,1318
7,52,63585,12280,11049,11148,1261
7,53,71392,12493,10320,10933,1771
7,54,70665,13633,11756,12315,1871
7,55,55387,13618,11901,10465,1276
7,56,66154,17021,14668,11764,1816
7,57,59118,11583,10168,10247,1613
7,58,64191,12171,10492,10255,886
7,59,84285,38710,24050,13925,1002
7,60,115155,54156,37035,18315,2068
7,61,100236,15783,12937,13819,2033
7,62,70351,13200,11262,11814,1924
7,63,71274,12269,10403,11270,1775
7,64,144666,65222,34028,17279,2119
7,65,55663,14625,13518,13289,1473
7,66,81443,14276,11713,12491,2127
7,67,61127,14815,13081,12475,1573
7,68,57487,14449,13067,13270,1698
7,69,72693,15353,14971,16830,2083
7,70,54165,14542,14179,13392,1629
7,71,76737,13079,12360,11277,1409
7,72,77041,12971,12423,11597,1183
7,73,84164,13500,11319,12338,1525
7,74,64170,18791,17778,19784,4270
7,75,57067,14731,15046,15036,1793
7,76,48099,13867,13318,12896,1086
7,77,69610,16612,16326,15800,2352
7,78,56619,14729,14207,14242,2416
7,79,61700,15962,15332,14991,2073
7,80,59435,14886,14436,13547,1408
7,81,50892,14928,15689,14989,1586
7,82,60539,15149,14403,14248,1680
7,83,67956,13802,13107,13332,1350
7,84,77516,15563,14135,13264,2019
7,85,68257,14355,44492,37139,1574
7,86,77461,11504,10339,11228,255
7,87,62314,11238,9431,10200,1324
7,88,60017,10968,9361,10115,1116
7,89,84417,13242,12347,12388,1592
7,90,75321,13747,12508,12012,1885
7,91,78490,20914,32754,29740,1838
7,92,82873,21734,18864,15334,1681
7,93,49209,12982,11384,11412,1006
7,94,68177,15236,16140,15160,1152
7,95,68582,16472,17771,15863,940
7,96,82824,15601,15407,14233,2604
8,1,154525,23944,19572,18076,3387
8,2,149802,23930,20069,18726,3040
8,3,96750,18426,15977,13842,2570
8,4,3674414,2693963,1252923,398016,2120
8,5,75800,24871,46749,38930,1426
8,6,81397,14410,14821,10439,1139
8,7,106949,13102,11424,7796,1253
8,8,101778,12223,10358,7530,381
8,9,120841,15847,12359,9547,1875
8,10,153553,18358,14773,12049,1957
8,11,176991,21294,16376,13468,3082
8,12,176107,21349,15213,11974,4508
8,13,121289,16523,11704,11335,2010
8,14,110480,15551,11013,10384,1301
8,15,93541,13471,10179,9503,1232
8,16,80407,13650,9778,8510,1404
8,17,76492,13003,10351,9113,1800
8,18,75897,12405,10104,8781,932
8,19,76231,15870,12438,9024,582
8,20,88034,15550,11843,9371,1681
8,21,101392,17168,13791,11562,2184
8,22,100695,15295,11757,10166,1658
8,23,110567,15921,12588,10808,1477
8,24,108455,15272,11941,10846,1600
8,25,124961,15228,10696,12266,2163
8,26,154302,22347,13995,13193,2279
8,27,90898,13023,10523,10779,1065
8,28,83311,13062,10352,10133,1123
8,29,76454,12949,10056,10878,1707
8,30,64570,12248,10597,10892,1607
8,31,57381,15300,13826,14036,1182
8,32,383505,644276,656934,224548,2367
8,33,166832,254035,279082,114772,2157
8,34,101593,89371,103128,52129,2024
8,35,108087,30658,31052,21746,2430
8,36,112844,18115,16653,14085,3059
8,37,90822,12593,10949,11517,1673
8,38,94482,13943,11849,11496,2138
8,39,81203,12130,11148,10662,1659
8,40,67185,11507,10944,11448,1028
8,41,72381,14248,12286,11916,1089
8,42,84661,13292,11056,12075,1523
8,43,69405,11356,9725,10105,1179
8,44,67020,11194,9385,9504,1657
8,45,59459,10742,8978,9083,1204
8,46,70593,12620,10349,9666,1347
8,47,93195,16076,13020,12188,2327
8,48,98356,14493,11707,10622,2192
8,49,95968,16025,12180,13586,2266
8,50,72324,13110,11285,11338,1835
8,51,55782,10620,9003,9950,1324
8,52,60553,11661,10668,11294,1517
8,53,67676,12213,10070,10829,1565
8,54,67332,13095,11385,12065,1884
8,55,52786,13244,11482,10301,1140
